Art Cat (group),Auction House,Count of Id
Vintage,Artnet,1336
Sillhoutte,Artnet,2492
Potrait Art,Artnet,1433
Nature,Artnet,62
Midevial,Artnet,7
Gothic,Artnet,4340
Demonic,Artnet,12
Dark Art,Artnet,4522
Animal Art,Artnet,107
Abstract Art,Artnet,2995
Vintage,Christie,3809
Sillhoutte,Christie,7350
Potrait Art,Christie,3760
Nature,Christie,239
Midevial,Christie,24
Gothic,Christie,7678
Demonic,Christie,54
Dark Art,Christie,10976
Animal Art,Christie,422
Abstract Art,Christie,6281
Vintage,sotheby,1498
Sillhoutte,sotheby,2646
Potrait Art,sotheby,1623
Nature,sotheby,80
Midevial,sotheby,5
Gothic,sotheby,2471
Demonic,sotheby,13
Dark Art,sotheby,3641
Animal Art,sotheby,127
Abstract Art,sotheby,2160
